root,node,count
58187782-516f-437e-b,d48d76de-007f-40f0-8,4
58187782-516f-437e-b,19684fff-e3b2-4440-a,2
8009504c-297d-4fc3-9,8c570a09-6838-433a-b,2
3863dfd9-5f1c-4c78-9,e1dbcfbb-591c-4557-9,2
3863dfd9-5f1c-4c78-9,11a1d72b-5ceb-4108-a,2
e3163186-76c7-466d-8,3b5c1b47-3868-4612-8,2
a898d2cc-883a-4a8b-8,9bf06f13-74fe-4fa8-a,5
9bf06f13-74fe-4fa8-a,e1dbcfbb-591c-4557-9,2
9bf06f13-74fe-4fa8-a,11a1d72b-5ceb-4108-a,3
25b707d0-89dc-421a-9,6c940c4e-76c0-4309-b,3
1e65df72-9d53-491c-a,3b5c1b47-3868-4612-8,2
7613ddd3-5261-4476-9,03e9ebc0-037a-4f4a-a,2
19684fff-e3b2-4440-a,d48d76de-007f-40f0-8,15
19684fff-e3b2-4440-a,03e9ebc0-037a-4f4a-a,2
9424713b-4b25-4534-8,e1dbcfbb-591c-4557-9,5
3b1f717f-f907-45e8-b,d48d76de-007f-40f0-8,2
3b1f717f-f907-45e8-b,03e9ebc0-037a-4f4a-a,3
3b796282-0a34-45ed-8,e19e1b88-6d3a-40c3-b,2
e1dbcfbb-591c-4557-9,11a1d72b-5ceb-4108-a,3
60a8a96f-8b9d-4332-8,d48d76de-007f-40f0-8,10
778f3c6d-a5f0-46c1-9,9bf06f13-74fe-4fa8-a,3
3164ce01-465f-4182-a,9bf06f13-74fe-4fa8-a,2
1985e3d4-5b52-4005-8,9bf06f13-74fe-4fa8-a,5
03e9ebc0-037a-4f4a-a,11a1d72b-5ceb-4108-a,2
05521eb7-7ca1-4dfe-8,6c940c4e-76c0-4309-b,2
fc958eee-4932-4e11-a,9bf06f13-74fe-4fa8-a,6
623d354c-a3a1-4ba8-8,6c940c4e-76c0-4309-b,2
e3163186-76c7-466d-8,3b5c1b47-3868-4612-8,4
1b7be548-a7f5-4554-a,9bf06f13-74fe-4fa8-a,2
dbbf12a2-202f-4763-8,9bf06f13-74fe-4fa8-a,3
c99e454e-763d-4205-9,6c940c4e-76c0-4309-b,2
5850f863-32a5-453f-8,41ed023b-52f7-41c1-9,5
5850f863-32a5-453f-8,3b5c1b47-3868-4612-8,9
b974b85c-f4a3-44bc-a,3b5c1b47-3868-4612-8,2
d135b2d5-7f04-4bec-a,3b5c1b47-3868-4612-8,2
135d607a-36a7-44ff-b,8c570a09-6838-433a-b,3
e19e1b88-6d3a-40c3-b,03e9ebc0-037a-4f4a-a,3
e19e1b88-6d3a-40c3-b,e19e1b88-6d3a-40c3-b,2
c8cba7bf-2b8d-4942-8,8c570a09-6838-433a-b,3
c8cba7bf-2b8d-4942-8,3b5c1b47-3868-4612-8,2
bd928995-d84c-4683-b,d48d76de-007f-40f0-8,2
b23a8939-61cf-4c98-a,d48d76de-007f-40f0-8,2
b23a8939-61cf-4c98-a,19684fff-e3b2-4440-a,2
41ed023b-52f7-41c1-9,11a1d72b-5ceb-4108-a,4
3c3ba44b-7408-4599-9,41ed023b-52f7-41c1-9,2
3c3ba44b-7408-4599-9,11a1d72b-5ceb-4108-a,5
11a1d72b-5ceb-4108-a,e1dbcfbb-591c-4557-9,4
e4bbeb95-8ba8-4e61-a,41ed023b-52f7-41c1-9,4
e4bbeb95-8ba8-4e61-a,11a1d72b-5ceb-4108-a,4